"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","test_sorting_products_by_name_a_to_z","UI_E2E_tests","Tue Feb 03 11:40:20 UTC 2026","passed","Tue Feb 03 11:40:20 UTC 2026","Test_after_authorization","Test_main","",""
"","319","test_unsuccessful_authorization_with_empty_login","UI_E2E_tests","Tue Feb 03 11:40:07 UTC 2026","passed","Tue Feb 03 11:40:07 UTC 2026","Test_autorization_field","Test_main","",""
"","105","test_back_to_products_page","UI_E2E_tests","Tue Feb 03 11:40:23 UTC 2026","passed","Tue Feb 03 11:40:23 UTC 2026","Test_after_authorization","Test_main","",""
"","87","test_adding_product_to_cart","UI_E2E_tests","Tue Feb 03 11:40:11 UTC 2026","passed","Tue Feb 03 11:40:11 UTC 2026","Test_after_authorization","Test_main","",""
"","161","test_unsuccessful_order_placement_with_empty_fields","UI_E2E_tests","Tue Feb 03 11:40:14 UTC 2026","passed","Tue Feb 03 11:40:14 UTC 2026","Test_after_authorization","Test_main","",""
"","124","test_deleting_product_from_cart","UI_E2E_tests","Tue Feb 03 11:40:12 UTC 2026","passed","Tue Feb 03 11:40:12 UTC 2026","Test_after_authorization","Test_main","",""
"","28","test_sorting_products_by_price_low_to_high","UI_E2E_tests","Tue Feb 03 11:40:19 UTC 2026","passed","Tue Feb 03 11:40:19 UTC 2026","Test_after_authorization","Test_main","",""
"","28","test_sorting_products_by_price_high_to_low","UI_E2E_tests","Tue Feb 03 11:40:20 UTC 2026","passed","Tue Feb 03 11:40:20 UTC 2026","Test_after_authorization","Test_main","",""
"","65","test_viewing_product_details","UI_E2E_tests","Tue Feb 03 11:40:22 UTC 2026","passed","Tue Feb 03 11:40:22 UTC 2026","Test_after_authorization","Test_main","",""
"","87","test_check_cart_quantity_indicator","UI_E2E_tests","Tue Feb 03 11:40:24 UTC 2026","passed","Tue Feb 03 11:40:24 UTC 2026","Test_after_authorization","Test_main","",""
"","241","test_unsuccessful_order_placement_with_empty_last_name","UI_E2E_tests","Tue Feb 03 11:40:15 UTC 2026","passed","Tue Feb 03 11:40:15 UTC 2026","Test_after_authorization","Test_main","",""
"","368","test_unsuccessful_authorization_with_symbols","UI_E2E_tests","Tue Feb 03 11:40:04 UTC 2026","passed","Tue Feb 03 11:40:05 UTC 2026","Test_autorization_field","Test_main","",""
"","290","test_canceling_order_placement","UI_E2E_tests","Tue Feb 03 11:40:17 UTC 2026","passed","Tue Feb 03 11:40:18 UTC 2026","Test_after_authorization","Test_main","",""
"","309","test_closing_the_error_window","UI_E2E_tests","Tue Feb 03 11:40:08 UTC 2026","passed","Tue Feb 03 11:40:08 UTC 2026","Test_autorization_field","Test_main","",""
"","922","test_logout","UI_E2E_tests","Tue Feb 03 11:40:09 UTC 2026","passed","Tue Feb 03 11:40:10 UTC 2026","Test_after_authorization","Test_main","",""
"","440","test_successful_authorization","UI_E2E_tests","Tue Feb 03 11:40:03 UTC 2026","passed","Tue Feb 03 11:40:04 UTC 2026","Test_autorization_field","Test_main","",""
"","244","test_unsuccessful_order_placement_with_empty_postal_code","UI_E2E_tests","Tue Feb 03 11:40:16 UTC 2026","passed","Tue Feb 03 11:40:17 UTC 2026","Test_after_authorization","Test_main","",""
"","32","test_sorting_products_by_name_z_to_a","UI_E2E_tests","Tue Feb 03 11:40:21 UTC 2026","passed","Tue Feb 03 11:40:21 UTC 2026","Test_after_authorization","Test_main","",""
"","273","test_unsuccessful_authorization_with_empty_fields","UI_E2E_tests","Tue Feb 03 11:40:05 UTC 2026","passed","Tue Feb 03 11:40:06 UTC 2026","Test_autorization_field","Test_main","",""
"","325","test_unsuccessful_authorization_with_empty_password","UI_E2E_tests","Tue Feb 03 11:40:06 UTC 2026","passed","Tue Feb 03 11:40:06 UTC 2026","Test_autorization_field","Test_main","",""
"","386","test_successful_order_placement","UI_E2E_tests","Tue Feb 03 11:40:13 UTC 2026","passed","Tue Feb 03 11:40:13 UTC 2026","Test_after_authorization","Test_main","",""
